restaurant_name,category,pricing_for_2,locality,dining_rating,dining_review_count,delivery_rating,delivery_rating_count,website,address,phone_no,latitude,longitude,known_for2,known_for22
Rustom's,"Parsi, Street Food, North Indian, Desserts, Beverages",2100,"ito, new delhi",4.9,1885,4.4,1844,https://www.zomato.com/ncr/rustoms-ito-new-delhi,"Delhi Parsi Anjuman, LNJP Colony, Bahadur Shah Zafar Road, Near Maulana Azad Medical College Campus, ITO, New Delhi",9.1991E+11,28.638167,77.240472,not specified,not specified
Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200,"pragati maidan, new delhi",4.9,3748,3.9,37,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",9.17839E+11,28.613429,77.242471,"pondicherry fish curry, coconut rabdi, sabudana pop corn, chicken pasanda, majestic chicken, bhapa doi","artistic decor, the service, natural ambience, fusion menu, serene ambience, fusion food"
Dum-Pukht - ITC Maurya,"Mughlai, North Indian, Desserts",5000,"itc maurya, chanakyapuri, new delhi",4.9,1371,0.0,0,https://www.zomato.com/ncr/dum-pukht-itc-maurya-chanakyapuri-new-delhi,"ITC Maurya, Chanakyapuri, New Delhi",9.11146E+11,28.5982003,77.17366073,"royal ambiance and mughlai cuisine, also received the ""times food award 2015"" for culinary heritage",not specified
Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600,"cyber hub, dlf cyber city, gurgaon",4.9,2636,4.4,1238,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",9.11244E+11,28.49446439,77.08853245,"coconut milk dessert, honey caviar, kaffir lime cooler, samosa curry, samosa soup, corn curry","knowledgeable staff, authentic, soothing ambience, dessert menu, pure veg, cozy"
The Big Chill,"Continental, American, Italian",1500,"khan market, new delhi",4.9,6487,0.0,0,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"68-A, Khan Market, New Delhi",9.11142E+11,28.60035007,77.22749334,"irish cream tiramisu, penne vodka, mississippi mudpie, iced tea pitcher, tuna melt, banofi pie","retro ambience, yummy desserts, big portions, big menu, happy place, great decor"
Carnatic Cafe,South Indian,600,"lodhi colony, new delhi",4.9,2518,4.2,931,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",9.19667E+11,28.584296,77.226613,"malleshwari dosa, benne khali dosa, obbattu, raagi masala dosa, bombat dosa, puliyogare","cosy ambience, live kitchen, quiet place, calm, cosy place, nice decor"
"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2500,"sector 15, gurgaon",4.9,1299,3.8,25,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"SCO 23, Sector 15, Gurgaon",9.11244E+11,28.45797541,77.0446267,"classic martini, coktails, bloody mary, calamari, bacon, pork","jazz music, band playing, bartender, live band, live performances, bar counter"
Natural Ice Cream,"Ice Cream, Desserts",400,"connaught place, new delhi",4.9,4014,4.5,6969,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",9.11144E+11,28.63444917,77.22203437,"watermelon ice cream, choco bite, chocobite, choco almond, roasted almond ice cream, tender coconut ice cream","bank for the buck, totally worth it, coffee date, table service, happy place, great flavour"
Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts",200,"chawri bazar, new delhi",4.9,1120,0.0,5,https://www.zomato.com/ncr/kuremal-mohan-lal-kulfi-wale-chawri-bazar-new-delhi,"526, Kucha Pati Ram, Bazar Sita Ram, Near Chawri Bazar Metro Station, Chawri Bazar, New Delhi",9.19811E+11,28.64766195,77.22699109,"orange kulfi, jamun kulfi, mixed fruit, fruit cream, ice creams, dessert","bank for the buck, totally worth it, table service, authenticity, concept, owner"
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700,"kailash colony, new delhi",4.8,2480,4.2,573,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",9.11141E+11,28.55293914,77.24094898,"podi ghee idli, chettinad idli, ganne ka ras, pesarattu, appalam, chettinad curry","everything was very good, calm, lovely ambience, soothing music, warm welcome, ambience was super cool"
